FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
MARSEILLE AV,MARSEILLE_AV.html,227,0,0,0,0,224.1,32.0
MARS RD,MARS_RD.html,403,0,0,0,0,399.5,40.3
MARS CT,MARS_CT.html,70,0,0,0,0,69.1,24.7
MARIE CM,MARIE_CM.html,249,0,0,0,0,247.7,33.4
MARICOPA CT,MARICOPA_CT.html,31,0,0,0,0,30.2,22.5
MARGUERITE ST,MARGUERITE_ST.html,139,0,0,0,0,137.9,28.1
MARENGO CM,MARENGO_CM.html,441,0,1,0,1,439.8,49.1
LORRAINE RD,LORRAINE_RD.html,798,0,0,0,0,795.2,57.7
LOMITAS CT,LOMITAS_CT.html,32,0,0,0,0,31.4,22.7
GRACE CT,GRACE_CT.html,44,0,0,0,0,42.8,23.3
VIA AMIGOS,VIA_AMIGOS.html,69,0,0,0,0,68.2,24.6
VERN AV,VERN_AV.html,80,0,0,0,0,79.2,25.2
VENTURA CT,VENTURA_CT.html,55,0,0,0,0,53.5,23.8
VASCO ON OFF WB,VASCO_ON_OFF_WB.html,55,0,0,0,0,53.7,23.9
AVENUE C,AVENUE_C.html,102,0,0,0,0,100.6,26.0
AVENUE B,AVENUE_B.html,1450,0,0,0,0,1439.7,87.9
AVENUE A,AVENUE_A.html,647,0,0,0,0,642.5,52.0
AVALON WY,AVALON_WY.html,347,0,0,0,0,346.9,37.8
GERMAINE WY,GERMAINE_WY.html,228,0,0,0,0,227.4,32.5
GENOA ST,GENOA_ST.html,363,0,0,0,0,359.0,39.3
GENOA CT,GENOA_CT.html,68,0,0,0,0,67.0,24.6
GENEVE CT,GENEVE_CT.html,47,0,0,0,0,45.6,23.4
MACGREGOR CM,MACGREGOR_CM.html,156,0,0,0,0,154.6,29.2
VIA MONTALVO,VIA_MONTALVO.html,127,0,0,0,0,123.6,27.6
VIA MATEO,VIA_MATEO.html,172,0,0,0,0,168.0,29.8
VIA MADRID,VIA_MADRID.html,294,0,0,0,0,293.2,35.1
VIA DESTE,VIA_DESTE.html,180,0,0,0,0,178.4,30.1
VIA DEL PAZ,VIA_DEL_PAZ.html,113,0,0,0,0,111.8,26.8
VIA CRISTOBAL,VIA_CRISTOBAL.html,121,0,0,0,0,119.5,27.2
LIMESTONE CM,LIMESTONE_CM.html,23,0,0,0,0,22.4,22.0
LILLIAN CT,LILLIAN_CT.html,120,0,0,0,0,118.7,27.0
LIDO CT,LIDO_CT.html,49,0,0,0,0,47.7,23.6
LESLIE CM,LESLIE_CM.html,109,0,0,0,0,107.4,26.6
GONZAGA CT,GONZAGA_CT.html,131,0,0,0,0,129.6,27.4
GLENN CM,GLENN_CM.html,491,0,1,0,1,620.1,51.4
GLADYS CT,GLADYS_CT.html,150,0,0,0,0,149.4,28.4
LLOYD CT,LLOYD_CT.html,33,0,0,0,0,31.8,22.7
LYON CT,LYON_CT.html,47,0,0,0,0,45.6,23.4
LYNN ST,LYNN_ST.html,247,0,0,0,0,245.5,33.0
HARVARD WY,HARVARD_WY.html,298,0,0,0,0,297.9,35.2
ATHENA CM,ATHENA_CM.html,65,0,0,0,0,64.4,24.4
ASPENWOOD WY,ASPENWOOD_WY.html,213,0,0,0,0,212.4,31.2
ARMIDA CT,ARMIDA_CT.html,41,0,0,0,0,40.2,23.0
W PERIMETER DR,W_PERIMETER_DR.html,1257,0,0,0,0,1251.6,79.8
W INNER LOOP,W_INNER_LOOP.html,722,0,1,0,1,717.3,61.9
W FIFTH ST,W_FIFTH_ST.html,310,0,0,0,0,309.5,36.0
VISTA ST,VISTA_ST.html,194,0,1,0,1,191.4,37.0
VISTA CT,VISTA_CT.html,35,0,0,0,0,33.5,22.7
VIRGINIA DR,VIRGINIA_DR.html,418,0,0,0,0,416.5,40.8
VINTNER PL,VINTNER_PL.html,96,0,0,0,0,94.3,25.8
GULL WY,GULL_WY.html,82,0,0,0,0,81.1,25.3
GRIFFIN CM,GRIFFIN_CM.html,159,0,1,0,1,158.2,35.7
GREENWOOD CM,GREENWOOD_CM.html,33,0,0,0,0,32.2,22.7
LE MANS CT,LE_MANS_CT.html,47,0,0,0,0,45.6,23.4
LAVENDER CM,LAVENDER_CM.html,71,0,0,0,0,70.4,24.6
KLAMATH CT,KLAMATH_CT.html,52,0,0,0,0,50.9,23.8
KISA CT,KISA_CT.html,72,0,0,0,0,70.8,24.8
KINGSPORT AV,KINGSPORT_AV.html,276,0,0,0,0,273.3,34.6
KINGSBURY DR,KINGSBURY_DR.html,127,0,0,0,0,125.9,27.5
ARBOR CT,ARBOR_CT.html,96,0,0,0,0,95.1,25.7
AQUARIUS ST,AQUARIUS_ST.html,173,0,0,0,0,171.0,29.3
APRICOT ST,APRICOT_ST.html,137,0,0,0,0,135.7,27.9
APACHE ST,APACHE_ST.html,279,0,0,0,0,277.1,34.1
WEDGEWOOD CT,WEDGEWOOD_CT.html,57,0,0,0,0,56.3,24.1
WARSAW AV,WARSAW_AV.html,493,0,0,0,0,491.8,45.6
WALL CT,WALL_CT.html,85,0,0,0,0,84.0,25.5
ATHENS RD,ATHENS_RD.html,82,0,0,0,0,81.1,25.0
LAGUNA CT,LAGUNA_CT.html,84,0,0,0,0,83.5,25.3
LAURIE CM,LAURIE_CM.html,154,0,0,0,0,150.4,28.8
LARIAT CT,LARIAT_CT.html,77,0,0,0,0,75.4,25.0
LARCH LN,LARCH_LN.html,45,0,0,0,0,43.6,23.4
ADELLE ST,ADELLE_ST.html,448,0,0,0,0,444.3,41.9
ANITA CT,ANITA_CT.html,66,0,0,0,0,65.5,24.4
ANGELICA WY,ANGELICA_WY.html,180,0,0,0,0,178.5,29.3
ANDREWS ST,ANDREWS_ST.html,412,0,0,0,0,409.0,39.9
IRENE WY,IRENE_WY.html,380,0,0,0,0,376.2,39.5
HORSESHOE CT,HORSESHOE_CT.html,95,0,0,0,0,94.0,25.9
HOLLADAY CT,HOLLADAY_CT.html,105,0,0,0,0,164.8,26.5
HOGAN PL,HOGAN_PL.html,60,0,0,0,0,59.4,24.3
HILLIKER PL,HILLIKER_PL.html,344,0,0,0,0,342.4,38.7
JACKSON AV,JACKSON_AV.html,353,0,0,0,0,348.0,37.8
JANIS CT,JANIS_CT.html,61,0,0,0,0,60.2,24.2
JAMES ST,JAMES_ST.html,411,0,0,0,0,408.7,40.0
HOLMES CT,HOLMES_CT.html,57,0,0,0,0,56.1,24.0
HOLLINGBURY CM,HOLLINGBURY_CM.html,33,0,0,0,0,32.5,22.7
HEMLOCK CT,HEMLOCK_CT.html,103,0,0,0,0,102.7,26.2
HELSINKI CT,HELSINKI_CT.html,23,0,0,0,0,22.2,22.1
CENTAURUS ST,CENTAURUS_ST.html,82,0,0,0,0,81.1,25.0
CAMEO CT,CAMEO_CT.html,53,0,0,0,0,52.1,23.7
CAMBRIDGE CT,CAMBRIDGE_CT.html,31,0,0,0,0,30.5,22.3
CALVARY LN,CALVARY_LN.html,11,0,0,0,0,10.4,21.1
CALLAGHAN ST,CALLAGHAN_ST.html,160,0,0,0,0,158.5,28.8
SALT POND CM,SALT_POND_CM.html,40,0,0,0,0,39.0,23.1
CASSIOPIA ST,CASSIOPIA_ST.html,42,0,0,0,0,41.1,23.0
SANDIA DR,SANDIA_DR.html,1691,0,2,0,2,1685.5,109.3
CARLYLE ST,CARLYLE_ST.html,93,0,0,0,0,91.4,25.6
YALE WY,YALE_WY.html,605,0,0,0,0,604.4,49.1
XAVIER CT,XAVIER_CT.html,78,0,0,0,0,77.0,24.9
ALEXANDER ST,ALEXANDER_ST.html,298,0,0,0,0,296.1,34.5
ALVARADO CT,ALVARADO_CT.html,98,0,0,0,0,97.5,25.8
ALMOND CI,ALMOND_CI.html,427,0,0,0,0,426.5,41.5
ALMENDRA CM,ALMENDRA_CM.html,188,0,0,0,0,183.6,29.9
YOLO WY,YOLO_WY.html,241,0,0,0,0,240.7,33.0
