FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
NB ISABEL ON I580 WB,NB_ISABEL_ON_I580_WB.html,812,4,1,1,0,811.1,76.8
RED FIR WY,RED_FIR_WY.html,87,4,0,0,0,85.9,36.3
OLEANDER ST,OLEANDER_ST.html,214,4,0,0,0,212.5,42.3
OCEAN HILLS WY,OCEAN_HILLS_WY.html,169,4,0,0,0,168.4,40.1
POINSETTIA CM,POINSETTIA_CM.html,51,4,0,0,0,49.8,34.4
CROCUS WY,CROCUS_WY.html,148,4,0,0,0,146.8,39.1
CRATER RD,CRATER_RD.html,416,4,0,0,0,414.3,51.9
COWBOY ALLEY,COWBOY_ALLEY.html,234,4,0,0,0,231.6,43.2
EDGEWATER LN,EDGEWATER_LN.html,263,4,0,0,0,262.8,44.3
LAKELAND DR,LAKELAND_DR.html,244,4,1,1,0,241.5,49.4
AUSTEN CT,AUSTEN_CT.html,42,4,0,0,0,41.0,40.2
WALL ST,WALL_ST.html,1061,4,1,1,0,1054.0,86.9
ARROWHEAD CT,ARROWHEAD_CT.html,167,4,0,0,0,166.1,45.9
KNOLL WY,KNOLL_WY.html,102,4,0,0,0,99.6,37.1
PALOMINO RD,PALOMINO_RD.html,397,4,1,1,0,394.7,56.5
DICKENS CT,DICKENS_CT.html,74,4,0,0,0,73.2,35.8
DIANE LN,DIANE_LN.html,321,4,1,1,0,319.0,53.2
DEPOT DR,DEPOT_DR.html,206,4,0,0,0,201.9,41.8
OREGON WY,OREGON_WY.html,255,4,0,0,0,255.0,43.8
PINOT CT,PINOT_CT.html,38,4,0,0,0,36.9,33.7
DARWIN AV,DARWIN_AV.html,586,4,0,0,0,577.9,58.3
PHEASANT CT,PHEASANT_CT.html,56,4,0,0,0,54.7,34.8
ORCHID ST,ORCHID_ST.html,194,4,0,0,0,190.5,41.3
DRAKE WY,DRAKE_WY.html,572,4,0,0,0,563.2,57.4
KLONDIKE PL,KLONDIKE_PL.html,63,4,0,0,0,62.1,35.2
KELLY ST,KELLY_ST.html,539,4,0,0,0,536.5,56.7
APPLE TREE CM,APPLE_TREE_CM.html,146,4,0,0,0,144.0,45.4
ANONA WY,ANONA_WY.html,86,4,0,0,0,85.3,36.0
WATER LILY CM,WATER_LILY_CM.html,162,4,0,0,0,160.6,46.3
KEELER ST,KEELER_ST.html,176,4,0,0,0,173.2,40.5
JILLANA AV,JILLANA_AV.html,218,4,1,1,0,216.9,48.6
JAYHAWK LN,JAYHAWK_LN.html,306,4,1,1,0,304.4,52.6
IDLEWILD AV,IDLEWILD_AV.html,684,4,0,0,0,682.5,62.0
WINTERBERRY CM,WINTERBERRY_CM.html,44,4,0,0,0,43.6,40.5
WOOD ST,WOOD_ST.html,85,4,0,0,0,83.9,42.7
WOODHAVEN CM,WOODHAVEN_CM.html,238,4,1,0,1,237.0,49.7
WYNN CI,WYNN_CI.html,530,4,0,0,0,526.5,56.9
ADAMS AV,ADAMS_AV.html,328,3,0,0,0,326.7,46.4
YORK WY,YORK_WY.html,59,3,0,0,0,57.7,34.7
WINDSOR WY,WINDSOR_WY.html,414,3,0,0,0,411.0,51.3
SANDPIPER CM,SANDPIPER_CM.html,153,3,1,1,0,186.7,51.9
SATURN WY,SATURN_WY.html,403,3,0,0,0,400.3,50.4
CASSADY CT,CASSADY_CT.html,114,3,0,0,0,112.8,37.5
S SEA WY,S_SEA_WY.html,184,3,0,0,0,183.5,40.5
SADDLEVIEW CT,SADDLEVIEW_CT.html,71,3,0,0,0,70.1,41.8
IVY CM,IVY_CM.html,29,3,0,0,0,27.7,33.1
HILLVIEW DR,HILLVIEW_DR.html,380,3,0,0,0,375.8,49.8
YUKON WY,YUKON_WY.html,181,3,0,0,0,179.2,40.8
ZIRCON WY,ZIRCON_WY.html,338,3,1,1,0,336.4,54.3
SAN REMO CT,SAN_REMO_CT.html,142,3,0,0,0,140.2,45.1
